DurableId,DeveloperName,Label
06mU0000000UoI2IAK,Sales,Sales
06mU0000000UoI4IAK,Service,Service
06mU0000000UoI5IAK,Marketing,Marketing CRM Classic
06mU0000000UoI6IAK,Chatter,Salesforce Chatter
06mU00000009YcRIAU,Mass_Update_And_Mass_Edit,Mass Update And Mass Edit
06m0B0000001OrqQAE,ProspectInsight,Pardot Classic
06m0B0000001OrrQAE,Sales_Reach,Salesforce Engage
06m0B000000gQu0QAE,LightningService,Service Console
06m0B000000gQueQAE,LightningSalesConsole,Sales Console
06m0B000000QlS6QAK,AllTabSet,All Tabs
06m0B000000QmqpQAC,LightningInstrumentation,Lightning Usage App
06m0B000000QnFiQAK,Force_Backup,Force Backup
06m4O0000001TRKQA2,SalesforceCMS,Digital Experiences
06m4O0000009lJlQAI,Multi_Carrier_Shipmate,Multi-Carrier Shipping
06m4O0000009lR6QAI,LightningSales,Sales
06m4O000000oumpQAA,AppLauncher,App Launcher
06m4O000000XYQMQA4,OnlineSales,Your Account
06m4O000000XYTLQA4,DeclarativeLookupRollupSummaries,Declarative Lookup Rollup Summaries
06m4O000000XYTMQA4,DeclarativeLookupRollupSummaries2,Declarative Lookup Rollup Summaries
06m4O000000ovPIQAY,Optimizer,Salesforce Optimizer
06m5b000000LmyeAAC,RingCentral,RingCentral for Lightning
06m5b000000LmyfAAC,RingCentral_Admin_Classic,RingCentral Admin for Classic
06m5b000000LmygAAC,RingCentral_Admin_Ltng,RingCentral Admin for Lightning
06m5b000000Ln30AAC,Attachments_and_Notes_migrator,Attachments and Notes migrator
06m5b000000LnBOAA0,PMT,PMT
06m5b000000LnBPAA0,PMT_Console,PMT Console
06m5b000001Uk7lAAC,ZoomInfo,ZoomInfo
06mRo000000KoThIAK,DI_Customer_Training,Customer Training
06mRo000000KoVJIA0,Repair_Tech_Console,Repair Tech Console
06mRo000000PZ7SIAW,FlowsApp,Automation
06mRo000000XFJdIAO,FieldService,Field Service
06mRo000000XFJeIAO,FieldService_Admin,Field Service Admin
06mRo000000eWxFIAU,Profiles_to_Permission_Sets,User Access & Permissions Assistant
06mRo000000f4AxIAI,SalesCloudMobile,Sales Cloud Mobile
06mRo000000fQcrIAE,ExpressionSetConsole,Business Rules Engine
06mRo000000v98EIAQ,Approvals,Approvals
06mRo000000v98FIAQ,MSJApp,My Service Journey
06mRo000000vIWWIA2,DataGovernanceConsole,Policy Center
06mRo000001Ywc5IAC,AgentforceStudio,Agentforce Studio
06mRo000001Ywc6IAC,AIWorkbench,Agentforce Grid
06mRo000001aPlHIAU,DigitalWallet,Digital Wallet
06mRo000001ntVpIAI,IndustriesEpc,Product Catalog Management
06mRo000001ntZ3IAI,IndustriesEcm,Unified Catalog
06mRo000001oKcTIAU,Quality,Quality
06mRo000001rtFVIAY,Mechanical_Services,Mechanical Services
