"Sheet","WorkbookRow","CaseNumber","WorkbookSummary","WorkbookTheme","WorkbookProductArea","WorkbookStatus","WorkTypeOrSize","WorkbookAssignedTo","SalesforceCaseId","SalesforceSubject","SalesforceStatus","SalesforceIsClosed","SalesforcePriority","SalesforceClassification","SalesforceRelatedObject","SalesforceObjectOfIssue","SalesforceErrorType","SalesforceOwner","SalesforceCreatedDate","SalesforceLastModifiedDate","SalesforceClosedDate","SalesforceDescription","SalesforceResolutionNotes","SalesforceAssignedToId","HistoryCount","FeedItemCount","FeedCommentCount","FileCount","DryRunDisposition"
"Projects (Major and Minor)","72","00008310","FSL Calendar appointment not generating/appearing","New/Edit Workflows, Dashboards/Reports/Notifications, New/Edit Fields",,"Not Yet Started","S/M","Sacha Pearce","500Ro00000WHtk1IAD","FSL - calendar appointment not appearing","In progress","False","Medium","Other","Field Service Lightning",,,"Tom Meredith","22-05-2025 21:23:47","18-02-2026 19:11:35",,"a second job for an engineer was not populating on the calendar, i attempted to move the SA in the Gantt and redispatch in case it was due to them overlapping, but still no change. SA-6896 (not on calendar) and SA-6855 was visible. Informed by Caroline C",,"0055b00000REnyEAAT","3","2","6","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","72","00008361","FSL Calendar appointment not generating/appearing","New/Edit Workflows, Dashboards/Reports/Notifications, New/Edit Fields",,"Not Yet Started","S/M","Sacha Pearce","500Ro00000WguoAIAR","FSL - No calendar appointment generated in coordinator mailbox for some time after dispatch (long delay)","In progress","False","High","Other","Field Service Lightning",,,"Tom Meredith","30-05-2025 19:11:33","18-02-2026 19:11:27",,"SA-6298 still not showing in calendar at 1440 however dispatched on Gantt at 10:13. Reported by Caroline C - Harriet also mentioned Alison W had similar delay.

Some appointments are not generating a Calendar appointment at all and concerned this may cause missed visits. Escalated to Priority High 09/06/25. Only applicable if 2 appts are logged for the same engineer, same day. Eg SA-7253",,"0055b00000REnyEAAT","7","4","1","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","103","00009087","Part number needs to pull into product field on PO","New/Edit Workflows, Dashboards/Reports/Notifications, New/Edit Fields",,"Not Yet Started","S","Sacha Pearce","500Ro00000jedC3IAI","Part Number not puling in PO Product","New","False","Medium","Salesforce Improvement","Opportunity",,,"Tom Meredith","28-10-2025 14:58:08","26-03-2026 21:50:24",,"need Part number to pull through in to the product field. This is needed to be done manually but should automatically pull through from the designated product. There is a field visible on the PO Product but it does not get populated.

Once resolved to pull in the PO - can this also be added to pull in to the Purchase Order Pandadoc? Can we get this pulled in to the Description box after the Product Name?",,"0055b00000REnyEAAT","4","2","1","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","62","00009220","FSL UK - parts too large/heavy for engineer to return","New/Edit Workflows, Dashboards/Reports/Notifications, New/Edit Fields",,"Not Yet Started","M","Sacha Pearce","500Ro00000lJ9OEIA0","Parts requiring return option within FSL SA close out","New","False","Medium","Salesforce Improvement","Field Service Lightning",,,"Tom Meredith","20-11-2025 15:20:13","18-02-2026 19:11:56",,"if parts are too large or heavy for engineer to return, can we have a method for flagging parts needing return. will need input from Jon Kean, and stores/logitics for info required.

Could this lead on to automation/filling from the engineer on FSL rather than physical labels of on the part (part status and warranty claim/core exchange on the RMA associated with the asset)",,"0055b00000REnyEAAT","4","2","1","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","17","00009282","Still manually set Sub-Location on add asset page for Harvest Work Orders, need permanent solution","New/Edit Workflows, Dashboards/Reports/Notifications, New/Edit Fields",,"Build/Unit Testing","XL","Natalie Boger","500Ro00000m5HnqIAE","Enable Ability To Change ""Sub Location"" on an asset","In progress","False","Medium","Other","Asset2",,,"Blake Nielsen","04-12-2025 01:20:30","05-12-2025 09:31:00",,"Would you please allow/enable myself, Derek Larsen, Brenner Webb, Kyle Kast and Shawn Vo to Change ""Sub Location"" on an asset.",,"0050B000006qIImQAM","3","1","0","1","Ready for case-level requirements analysis"
"Projects (Major and Minor)","38","00009284","Automatically move an asset to ""consumed"" location after used to repair another asset.","New/Edit Workflows","Products/Assets","User Testing","M","Natalie Boger","500Ro00000m6jWhIAI","Asset consumption into a repair order.","In progress","False","Medium","Salesforce Improvement","Asset2",,,"Derek Larsen","04-12-2025 05:09:40","04-12-2025 21:58:20",,"Looking to see if there is a way to automatically move an asset to a “Consumed” location after it has been used to repair another asset. Currently, the system just marks the asset as sold and it remains in its current location. I’m hoping this process could be automated—similar to when an asset is consumed on an opportunity and its location is transferred to Shipping.",,"0050B000006qIImQAM","2","1","0","0","Ready for case-level requirements analysis"
"Errors & Just do its","3","00009302","Mike Wilson virtual assistant create user","Data","User","?","JDI","Lisa Litviak","500Ro00000mK84QIAS","Request from Mike Wilson","On Hold","False","Medium","Other","Permission(s)/Permission Set",,,"Lisa Litviak","08-12-2025 20:01:44","27-03-2026 03:50:35",,"Hi Lisa,
Can you please create a Salesforce case for me? I’m moving forward with bringing on a Virtual Assistant, and I want to make sure we set everything up properly, cleanly, and securely.
My plan is to have the assistant added as a delegated email user on my MWilson@ProboMedical.com account so they can help manage inbound communications without duplicating or missing messages. If there’s a better or safer method than delegated access, I’m completely open to your guidance — my goal is simply to keep the workflow clean, secure, and efficient.
This new hire should significantly improve communication with my customers and free up more of my time to focus on sales calls, site visits, and customer follow-up.
I believe I’ll need both Salesforce Admin and IT involved in the setup, especially around permissions, email delegation, and system access, so please route accordingly.
For now, can we create a generic Salesforce user (e.g., “MWAssist”) as a placeholder while we finalize permissions and access levels?
Below is the access structure I’m recommending for review. Please feel free to add or remove anything you feel is appropriate based on security policy or workflow best practices:
 
 
________________________________________
Recommended Access for My Virtual Assistant
1. Full Create / Read / Edit Access (ONLY on records owned by Michael Wilson)
The VA should be able to fully work within any record that belongs to me, including the ability to create new items, update existing ones, and manage all supporting documentation.
This includes:
•	Opportunities
•	Accounts
•	Contacts
•	RMAs / Service Requests
•	Work Orders
•	SRI (Service Request Intake)
•	Pricing Requests
•	Demo Requests
•	Applications Requests
•	Quotes / Opportunity Line Items
o	Add products
o	Enter pricing
o	Adjust quantities
•	Tasks & Activities
•	Notes
This level of access is necessary so they can update my pipeline, assist with customer follow-ups, check statuses, enter pricing, and help keep my workflow moving while I’m on the road.
________________________________________
2. View-Only Access for Other Reps’ Records
The VA should only have READ access to similar objects owned by other reps.
This is needed so they can:
•	Check whether a new lead is already assigned to another rep
•	Identify if an account already exists
•	Prevent duplicate opportunities
•	Understand context when reviewing RMAs, work orders, or customer activity
•	Monitor flow and overall status to support me effectively
They should NOT be able to modify or update any records owned by other reps.
________________________________________
3. Reports & Dashboards (View Only)
They should be able to:
•	View dashboards
•	View reports
•	Monitor pipeline, shipping, RMAs, and other activity
They should NOT be able to:
•	Create new reports
•	Edit existing reports
•	Delete reports
•	Modify dashboards
________________________________________
4. Products & Pricing
They should be able to:
•	View product catalog and pricebooks
•	Add products to MY opportunities
•	Manually enter sales pricing
•	Update quantities
This is necessary for preparing opportunities, quotes, and pricing requests.
________________________________________
5. Orders, Shipments & RMAs
They should be able to view:
•	Orders
•	Shipment details
•	Tracking numbers
•	RMA status
•	Work Orders / Service records
And edit/update only the records associated with opportunities or accounts that I own.
________________________________________
6. Access That Should NOT Be Granted
For security, I recommend the VA NOT have access to:
•	Any ability to export data
•	Data Loader or mass upload tools
•	Delete permissions
•	Setup, admin, or configuration tools
•	API or connected app permissions
•	Ability to change ownership of records
•	Ability to edit other reps’ accounts, contacts, or opportunities
•	Ability to create or modify reports and dashboards
________________________________________
7. Security Requirements
•	MFA required
•	Export permissions disabled
•	Login and field activity tracking enabled
•	Use of a restricted VA profile or permission set
________________________________________
Please Note
These are my recommendations based on the responsibilities the VA will have assisting me with customer follow-ups, opportunity management, pricing, service requests, and shipping/RMA tracking.
Please feel free to add or subtract anything you feel appropriate based on company policy, security requirements, or workflow considerations. I’m happy to discuss this further or adjust as needed.
Thank you,",,"005Ro000007qBJVIA2","2","1","0","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","104","00009312","FSL - can the SA details be visible on clicking the appointment ie ""reason for return visit"" as it currently brings up the WO as opposed to SA","New/Edit Workflows, New/Edit Fields","Service Appointment","Not Yet Started","S","Sacha Pearce","500Ro00000mXy09IAC","FSL - can the SA details be visible on clicking the appointment ie ""reason for return visit"" as it currently brings up the WO as opposed to SA","New","False","High","Salesforce Improvement","Field Service Lightning",,,"Tom Meredith","11-12-2025 16:28:46","26-03-2026 21:50:24",,"the fault description seen on clicking the SA in the app displays the Work Order description, and not the SA - this fault can change between visits and can be confusing for engineer. We have had instances where the engineer has action the WO description, as opposed to the SA. Can this be changed to reflect the latest SA? (and the SA number displayed in the schedule screen)",,"0055b00000REnyEAAT","3","1","0","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","51","00009327","Creating new equipment says serial number instead of equipment number and cant use eqp tag number","New/Edit Workflows, New/Edit Fields","Products/Assets","Requirement Gathering","M","Natalie Boger","500Ro00000mm8isIAA","creating new equipment","On Hold","False","Medium","Other","Equipment",,,"Jackielyn Fampo","16-12-2025 02:29:07","11-08-2026 06:57:12",,"when creating a new equipment, instead of ""equipment number"" it says ""serial number"". we cant use the equipment tag number when inputting the repair using that equipment because salesforce generates a new different number (different from equipment tag )",,"0050B000006qIImQAM","2","1","0","0","Ready for case-level requirements analysis"
"Errors & Just do its","22","00009336","GL error message...you can not create a receipt at this time a gl account is not assigned to syncing","BUG","Item Receipts","?","Bug","Natalie Boger","500Ro00000mpMkSIAU","GL error message","Closed","True","Medium","Salesforce Error","Item Receipt",,,"Gretchen Scarborough","16-12-2025 21:31:43","11-08-2026 06:52:45","11-08-2026 06:52:45","GL error message",,"0050B000006qIImQAM","4","3","0","0","Review - active workbook row but Salesforce closed"
