"CaseNumber","Subject","Priority","Owner","Classification","RelatedObject","WorkbookTheme","DevWorkBucket","DevReadiness","ProposedDryRunAction","TargetApiNames","TargetFieldCount","CandidateActiveFlows","CandidateValidationRules","CandidateTriggers","CandidateApexClasses","CandidateUiBundles","RequiredTestData","ProductionWriteRequiredEventually"
"00009390","Pricing Review & Review Notes Fields","Medium","Richard Gerler","Salesforce Improvement","Product","Validation Rules/Access","Access / validation","Buildable in Dev after exact persona and acceptance criteria are confirmed","Compare profile, permission sets, object/field/Apex access and validation bypasses; implement least privilege; test as target persona.","Product2; Product_Analytics__c","610","Account_Engagement_Sandbox_Production_Bulk_Asset_Copy_Flow; Add_Product_Record_Type_Name_to_Asset_Record; Asset_Creation_After_Save_Update_Product_Analytics; Asset_Update_After_Save_Set_Product_Analytics_on_Product_Name_Change; Change_Contract_Line_Item_Product_UK; Delete_Select_Products_from_Opportunity_Screen_Flow; IR_Product_Before_Delete_Total_IR_Product_Cost_Roll_Up; IR_Product_on_create_Total_IR_Product_Cost_Roll_Up","Array_carriage_replacement; Array_drive_switch_or_board_replacement; Array_drive_system_replacement; Array_replacement; Bending_rubber_glue_beads_replacement; Cable_advanced_whitening; Cable_jacket_refurb; Cable_jacket_splice","P_ProductAnalyticsTrigger; UpdateProductFields","AddIRProductServices; AddIRProductServicesTest; addproduct; AddProductPortal; AddProductPortalTestClass","addItemReceiptProductSearchLwc; addItemReceiptProductSelectionsLwc; addProductLwc; addProductMainLwc; addProductSearchLwc","Product2, Product_Analytics__c records with required parents, record types, owners, products and statuses","Yes - production assignment/deployment after approval"
"00009472","Request for more access","Medium","Lauren Fitzgerald","Other","User","Validation Rules/Access","Access / validation","Buildable in Dev after exact persona and acceptance criteria are confirmed","Compare profile, permission sets, object/field/Apex access and validation bypasses; implement least privilege; test as target persona.","User","0","PMT_Create_Resource_Availability_on_User_activation1","","","AssignPermissionSet; AssignPermissionSetTest; UserHasAccess; UserHasAccessTest; UserUtilities","","User records with required parents, record types, owners, products and statuses","Yes - production assignment/deployment after approval"
"00009522","Adjust Permissions","Medium","Kris Nelson","Other","Permission(s)/Permission Set","Validation Rules/Access","Access / validation","Buildable in Dev after exact persona and acceptance criteria are confirmed","Compare profile, permission sets, object/field/Apex access and validation bypasses; implement least privilege; test as target persona.","User","0","PMT_Create_Resource_Availability_on_User_activation1","","","AssignPermissionSet; AssignPermissionSetTest; UserHasAccess; UserHasAccessTest; UserUtilities","","User records with required parents, record types, owners, products and statuses","Yes - production assignment/deployment after approval"
"00009542","Confirmation lines","Medium","Kaley Ehrig","Other","Permission(s)/Permission Set","Validation Rules/Access","Access / validation","Buildable in Dev after exact persona and acceptance criteria are confirmed","Compare profile, permission sets, object/field/Apex access and validation bypasses; implement least privilege; test as target persona.","User","0","PMT_Create_Resource_Availability_on_User_activation1","","","AssignPermissionSet; AssignPermissionSetTest; UserHasAccess; UserHasAccessTest; UserUtilities","","User records with required parents, record types, owners, products and statuses","Yes - production assignment/deployment after approval"
"00009597","Stop people being able to close win an inventory purchase opp without an item receipt","Medium","James Bevan-Jones","Salesforce Improvement","Opportunity","New/Edit Workflows, Validation Rules/Access","Access / validation","Buildable in Dev after exact persona and acceptance criteria are confirmed","Compare profile, permission sets, object/field/Apex access and validation bypasses; implement least privilege; test as target persona.","Opportunity; OpportunityLineItem","736","Auto_Create_Return_Opportunity_for_Exchange_Purchasing_Ops; AvaTax_Opportunity_Automatic_Tax_Calculation_Flow; AvaTax_Opportunity_Existing_Update_Entity_Use_Code_IOR_Transport; AvaTax_Opportunity_New_Update_Entity_Code_IOR_Transport; AvaTax_Opportunity_Update_AvaTax_Message_and_Status; Big_Iron_Purchasing_Opportunity_Updates_Alerts; Cloned_Opportunity_Update_FSR_Attached_and_FSR_Not_Required_to_False; Convert_PRR_to_Purchasing_Opportunity_Screen_Flow","Account_MUST_Match_Bill_To_Account; Account_on_Credit_Hold; Accounting_Contact_Email_Required; Actual_Removal_Date_Not_Future; Bill_and_Ship_Address_Req_for_Closed_Won; Billing_and_Shipping_State_Length; BIPO_Stage_Closed_Lost; Business_Line_Must_Be_Filled_Out","P_OppLineItemTrigger; P_OpportunityTrigger; ProcessTemplateFolder","BeforeUpdateOpportunityTest; OpportunityAlertController; OpportunityAlertControllerTest; OpportunityLineItemServices; OpportunityLineItemServicesTest","OpportunityAlert","Opportunity, OpportunityLineItem records with required parents, record types, owners, products and statuses","Yes - production assignment/deployment after approval"
"00009634","Product repair required fields.","Medium","Kyle Kast","Salesforce Improvement","Product Repair","Validation Rules/Access","Access / validation","Buildable in Dev after exact persona and acceptance criteria are confirmed","Compare profile, permission sets, object/field/Apex access and validation bypasses; implement least privilege; test as target persona.","Product_Repair__c","95","Absorb_External_Repair_Screen_Flow; Auto_Create_Post_Repair_Eval_on_Opp; Auto_Create_Refurb_System_Repair_from_Refurb_Test; Case_Online_Repair_Evaluation_Tool; Create_External_Repair_Testing_Opp_from_PO; Create_Repair_Opportunity_from_Service_Contract_Flow; FSL_US_Update_Work_Order_to_Repair_In_Progress; On_New_WOLI_Update_Type_if_Probe_Repair_Opp","Cannot_make_mold_on_nongeneric_asset; Cannot_use_non_purchasing_approved_part; Identify_equipment_number_used_for_mold; Must_explain_cap_failure; Must_explain_failure; Must_explain_lens_failure; Must_explain_SR_failure; Must_fill_out_notes_for_no_longer_needed","HarvestParts; P_ProductRepairTrigger; P_ProductRepairTrigger2; updateProductRepairTrigger","CreateApprovedRepairsHandler; CreateApprovedRepairsTestClass; CreateRepairRMAFromCase; CreateRepairRMAFromCaseTest; EmailPostRepairEvalPDF","","Product_Repair__c records with required parents, record types, owners, products and statuses","Yes - production assignment/deployment after approval"
"00010008","Locking Down Cost Field","Medium","Aaron Poston","Salesforce Improvement","Asset2","Validation Rules/Access","Access / validation","Buildable in Dev after exact persona and acceptance criteria are confirmed","Compare profile, permission sets, object/field/Apex access and validation bypasses; implement least privilege; test as target persona.","ProductItem__c","419","Account_Engagement_Bulk_Asset_Copy_Flow; Account_Engagement_Sandbox_Production_Bulk_Asset_Copy_Flow; Add_Product_Record_Type_Name_to_Asset_Record; Asset_Automations; Asset_Check_in_Type; Asset_Creation_After_Save_Update_Product_Analytics; Asset_Update_After_Save_Set_Product_Analytics_on_Product_Name_Change; Auto_Close_SWO_HWO_Scrap_Asset","Approved_Purchase_no_cost_edits; Cannot_Change_Asset_Owner; Cannot_change_cost_once_marked_sold; Cannot_move_without_verifying_numbers; Check_In_Type; Designated_For_Rental_Rule; GE_DISTRIBUTION_PRODUCTS; Generic_Assets_CANNOT_Have_Cost","dlrs_ProductItemTrigger; P_ProductItemTrigger","AddAssetServices; AddAssetServicesTest; dlrs_ProductItemTest; LoanerAssetTriggerHandler; LoanerAssetTriggerHandlerTest","addAssetMainLwc; addAssetSearchLwc; addAssetSelectionsLwc; addAsset; addAssetComponent","ProductItem__c records with required parents, record types, owners, products and statuses","Yes - production assignment/deployment after approval"
"00010071","Reserved status on asset","Medium","Ken Anderson","Other","Asset2","Validation Rules/Access","Access / validation","Buildable in Dev after exact persona and acceptance criteria are confirmed","Compare profile, permission sets, object/field/Apex access and validation bypasses; implement least privilege; test as target persona.","ProductItem__c","419","Account_Engagement_Bulk_Asset_Copy_Flow; Account_Engagement_Sandbox_Production_Bulk_Asset_Copy_Flow; Add_Product_Record_Type_Name_to_Asset_Record; Asset_Automations; Asset_Check_in_Type; Asset_Creation_After_Save_Update_Product_Analytics; Asset_Update_After_Save_Set_Product_Analytics_on_Product_Name_Change; Auto_Close_SWO_HWO_Scrap_Asset","Approved_Purchase_no_cost_edits; Cannot_Change_Asset_Owner; Cannot_change_cost_once_marked_sold; Cannot_move_without_verifying_numbers; Check_In_Type; Designated_For_Rental_Rule; GE_DISTRIBUTION_PRODUCTS; Generic_Assets_CANNOT_Have_Cost","dlrs_ProductItemTrigger; P_ProductItemTrigger","AddAssetServices; AddAssetServicesTest; dlrs_ProductItemTest; LoanerAssetTriggerHandler; LoanerAssetTriggerHandlerTest","addAssetMainLwc; addAssetSearchLwc; addAssetSelectionsLwc; addAsset; addAssetComponent","ProductItem__c records with required parents, record types, owners, products and statuses","Yes - production assignment/deployment after approval"
"00010082","assets","Medium","Sean Bagley","Other","Account","Validation Rules/Access","Access / validation","Buildable in Dev after exact persona and acceptance criteria are confirmed","Compare profile, permission sets, object/field/Apex access and validation bypasses; implement least privilege; test as target persona.","Account","252","Account_Created_by_EU_UK; Account_Engagement_Bulk_Asset_Copy_Flow; Account_Engagement_Sandbox_Production_Bulk_Asset_Copy_Flow; AccountFieldUpdateFlow; AvaTax_Account_Update_AvaTax_Exemption_Message_Flow; Contact_Asynchronous_on_create_Update_Account_Number_of_Contacts; Contact_Asynchronous_on_delete_Update_Account_Number_of_Contacts; Contact_Asynchronous_on_update_Update_Account_Number_of_Contacts","Account_Name_Character_Limit; Account_named_unknown; Billing_and_Shipping_State_Length; Cant_Do_Business_in_Country_List; Cant_Edit_Trisonics_Accounts; Must_include_RGBP_Category; Shipping_Account_Preference_Control; Validate_AvaTax_Exemption_Customer_ID","AccountTrigger; LogAccountChange; P_AccountTrigger","P_AccountTriggerHandler; P_AccountTriggerHandlerTest; UpdateAccountBatch; UpdateAccountBatchTestClass","","Account records with required parents, record types, owners, products and statuses","Yes - production assignment/deployment after approval"
"00010296","Remove access for Tim Cheese","Medium","Jon Kean","Other","Product Test","Validation Rules/Access","Access / validation","Buildable in Dev after exact persona and acceptance criteria are confirmed","Compare profile, permission sets, object/field/Apex access and validation bypasses; implement least privilege; test as target persona.","ProductTest__c; Product_Test_Line_Item__c","344","Auto_Create_Refurb_System_Repair_from_Refurb_Test; Coil_RMA_Update_Last_Test_Completed_Date_Flow; Create_External_Repair_Testing_Opp_from_PO; FSL_Ultrasound_Electrical_Safety_Tests_Checklist; If_FSR_Not_Required_FSR_Datestamp_Blank_at_Closed_Won_Set_FSR_Datestamp_to_Today; Radiology_Basic_Product_Test_Screen_Flow_UK; Refurb_Test_Asset_Selection_Screen_Flow; Refurb_Test_Update_After_Save_Change_Owner_to_Engineer_on_Acceptance","Cable_length_must_not_be_blank; D_system_test; Last_4_SN_must_not_be_blank; Leakage_current_cannot_equal_zero; Must_be_equal_to_product1; Must_be_equal_to_product10; Must_be_equal_to_product11; Must_be_equal_to_product12","P_ProductTestTrigger","AddAssetServicesTest; AddIRProductServicesTest; AddProductPortalTestClass; AddProductServicesTest; AddProductTestClass","overrideProductTest; Test","ProductTest__c, Product_Test_Line_Item__c records with required parents, record types, owners, products and statuses","Yes - production assignment/deployment after approval"
